<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SAB,20180720,202.9321,204.3479,188.7740,188.7740,167500
SAB,20180723,193.4933,198.6847,192.0775,198.6847,121840
SAB,20180724,199.1566,199.1566,194.2485,198.2127,106300
SAB,20180725,194.1541,197.2688,193.5877,195.3811,89120
SAB,20180726,191.2281,195.3811,190.8505,195.3811,113290
SAB,20180727,191.7000,195.3811,191.7000,195.3811,71130
SAB,20180730,195.3811,195.3811,193.4934,195.1923,41840
SAB,20180731,192.6439,195.3811,192.5495,193.9653,112500
SAB,20180801,193.4934,194.4372,192.2663,193.4934,33350
SAB,20180802,192.6439,194.3429,191.6057,192.5495,41290
SAB,20180803,192.0776,193.4934,188.3021,188.6796,83590
SAB,20180806,188.6796,188.7740,186.1312,187.8302,58550
SAB,20180807,186.4144,187.8302,182.9221,187.8302,77380
SAB,20180808,185.9425,188.7741,184.0547,188.7740,72620
SAB,20180809,188.7740,196.3250,187.8301,196.3250,134190
SAB,20180810,196.3250,197.7408,192.5495,197.2689,79050
SAB,20180813,197.2689,198.2128,194.5317,198.2127,84580
SAB,20180814,198.2127,198.2127,195.8530,198.2127,33560
SAB,20180815,198.2127,200.0061,196.3250,199.1566,44610
SAB,20180816,199.1566,200.1005,195.6643,200.1005,56860
SAB,20180817,200.1005,201.0444,198.2128,201.0443,45730
SAB,20180820,198.3071,201.0443,198.2127,201.0443,34660
SAB,20180821,201.0443,201.0443,196.8913,201.0443,71180
SAB,20180822,201.0443,201.0443,198.3071,201.0443,42550
SAB,20180823,200.1004,201.0443,198.4959,200.5724,79280
SAB,20180824,199.1566,201.0443,198.2127,201.0443,95550
SAB,20180827,201.9882,210.2942,201.2331,206.7076,67490
SAB,20180828,206.7076,210.4831,206.4244,209.5392,38360
SAB,20180829,209.5392,213.3147,207.6515,213.3147,25460
SAB,20180830,209.7280,213.3147,209.7280,213.3147,37240
SAB,20180831,213.3147,213.3147,210.7663,213.3147,47370
SAB,20180904,213.3147,213.3147,211.0494,211.2381,60720
SAB,20180905,211.2381,211.2381,208.6897,210.3887,38610
SAB,20180906,209.5392,210.3887,206.7076,210.2943,41630
SAB,20180907,207.6515,210.3887,206.8964,210.2943,32790
SAB,20180910,210.1999,210.4831,207.7459,210.4830,31480
SAB,20180911,210.4830,210.4830,207.8402,210.4830,19770
SAB,20180912,209.6335,210.3886,207.9346,210.2943,11530
SAB,20180913,208.5953,210.1999,208.5953,209.5392,7230
SAB,20180914,209.5392,212.3708,209.5392,210.2943,42150
